Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000068781	ENSG00000068781.21	STON1-GTF2A1L	48529925	48776517	2
ENSG00000213139	ENSG00000213139.8	CRYGS	186538441	186546702	3
ENSG00000197706	ENSG00000197706.5	OR6C74	55244609	55256625	12
ENSG00000283149	ENSG00000283149.1		186581995	186597103	3
ENSG00000234475	ENSG00000234475.5	HSPA1A	3063243	3065725	HSCHR6_MHC_DBB_CTG1
ENSG00000246705	ENSG00000246705.5	H2AJ	14774405	14778002	12
ENSG00000231608	ENSG00000231608.9	TNXB	3282563	3358976	HSCHR6_MHC_DBB_CTG1
ENSG00000139055	ENSG00000139055.7	ERP27	14914039	14938537	12
ENSG00000091181	ENSG00000091181.20	IL5RA	3066324	3126613	3
ENSG00000175398	ENSG00000175398.3	OR10P1	55636892	55637833	12
ENSG00000233618	ENSG00000233618.1	OR2J3	421255	422190	HSCHR6_MHC_SSTO_CTG1
ENSG00000288710	ENSG00000288710.1		49002274	49024075	12
ENSG00000119715	ENSG00000119715.15	ESRRB	76310712	76501837	14
ENSG00000230279	ENSG00000230279.8	LTA	2871334	2873604	HSCHR6_MHC_SSTO_CTG1
ENSG00000268083	ENSG00000268083.5		38817471	38840178	19
ENSG00000187994	ENSG00000187994.14	RINL	38867830	38878275	19
ENSG00000167548	ENSG00000167548.18	KMT2D	49018975	49060794	12
ENSG00000233795	ENSG00000233795.6	POLR1H	1357821	1363828	HSCHR6_MHC_SSTO_CTG1
ENSG00000262484	ENSG00000262484.2	CCER2	38908980	38912186	19
ENSG00000198142	ENSG00000198142.5	SOWAHC	109614364	109618990	2
ENSG00000227317	ENSG00000227317.6	DDAH2	2974799	2978378	HSCHR6_MHC_DBB_CTG1
ENSG00000269547	ENSG00000269547.1		38915404	38949855	19
ENSG00000100347	ENSG00000100347.16	SAMM50	43955399	44010531	22
ENSG00000105204	ENSG00000105204.14	DYRK1B	39825350	39834201	19
ENSG00000123901	ENSG00000123901.9	GPR83	94377316	94401419	11
ENSG00000168702	ENSG00000168702.18	LRP1B	140231423	142131016	2
ENSG00000239974	ENSG00000239974.6	EGFL8	3480789	3484488	HSCHR6_MHC_SSTO_CTG1
ENSG00000054654	ENSG00000054654.20	SYNE2	63761899	64226433	14
ENSG00000205177	ENSG00000205177.7	C11orf91	33698261	33700826	11
ENSG00000229767	ENSG00000229767.9	DDR1	2214729	2218933	HSCHR6_MHC_APD_CTG1
ENSG00000279000	ENSG00000279000.4	OR10A6	7924592	7931268	11
ENSG00000172362	ENSG00000172362.4	OR5B12	58438994	58442236	11
ENSG00000276497	ENSG00000276497.3	APBA1	21985	70597	HSCHR9_1_CTG2
ENSG00000176742	ENSG00000176742.3	OR51V1	5199735	5200682	11
ENSG00000280314	ENSG00000280314.4	OR8K3	56315144	56320639	11
ENSG00000141452	ENSG00000141452.12	RMC1	23503483	23531822	18
ENSG00000231555	ENSG00000231555.4	HSPA1B	3075514	3078034	HSCHR6_MHC_DBB_CTG1
ENSG00000235441	ENSG00000235441.5	OR10C1	748317	749988	HSCHR6_MHC_SSTO_CTG1
ENSG00000172457	ENSG00000172457.7	OR9G4	56741223	56748697	11
ENSG00000225141	ENSG00000225141.9	PRRT1	3389722	3395738	HSCHR6_MHC_DBB_CTG1
ENSG00000226165	ENSG00000226165.9	HLA-DQB2	4156243	4163679	HSCHR6_MHC_SSTO_CTG1
ENSG00000188486	ENSG00000188486.4	H2AX	119093874	119095465	11
ENSG00000291312	ENSG00000291312.1		39830482	39831956	19
ENSG00000220201	ENSG00000220201.8	ZGLP1	10304803	10309880	19
ENSG00000101474	ENSG00000101474.13	APMAP	24962925	24992782	20
ENSG00000134817	ENSG00000134817.12	APLNR	57233577	57237250	11
ENSG00000237052	ENSG00000237052.7	GPSM3	3523365	3528122	HSCHR6_MHC_APD_CTG1
ENSG00000149305	ENSG00000149305.8	HTR3B	113904796	113949079	11
ENSG00000255419	ENSG00000255419.7	MSH5-SAPCD1	3057457	3064143	HSCHR6_MHC_SSTO_CTG1
ENSG00000162989	ENSG00000162989.5	KCNJ3	154697855	154858354	2
ENSG00000230700	ENSG00000230700.11	CSNK2B	2913007	2920054	HSCHR6_MHC_DBB_CTG1
ENSG00000090372	ENSG00000090372.15	STRN4	46719511	46746994	19
ENSG00000223687	ENSG00000223687.4	ZNF311	481256	491796	HSCHR6_MHC_COX_CTG1
ENSG00000278608	ENSG00000278608.1	MAMDC2	19469	152750	HSCHR9_1_CTG3
ENSG00000131174	ENSG00000131174.8	COX7B	77895727	77907376	X
ENSG00000237634	ENSG00000237634.1	LINC01556	430282	430942	HSCHR6_MHC_COX_CTG1
ENSG00000235487	ENSG00000235487.8	PSORS1C1	2597125	2622431	HSCHR6_MHC_COX_CTG1
ENSG00000229006	ENSG00000229006.7	TRIM27	212404	233381	HSCHR6_MHC_SSTO_CTG1
ENSG00000261796	ENSG00000261796.1	ISY1-RAB43	129087575	129161036	3
ENSG00000185201	ENSG00000185201.18	IFITM2	303655	309397	11
ENSG00000230308	ENSG00000230308.10	TRIM39	1655969	1673225	HSCHR6_MHC_APD_CTG1
ENSG00000120694	ENSG00000120694.21	HSPH1	31134876	31162388	13
ENSG00000232178	ENSG00000232178.1	OR2J3	598439	599374	HSCHR6_MHC_COX_CTG1
ENSG00000188419	ENSG00000188419.15	CHM	85861180	86047561	X
ENSG00000230995	ENSG00000230995.7	PPP1R10	2080124	2098336	HSCHR6_MHC_COX_CTG1
ENSG00000101180	ENSG00000101180.18	HRH3	62214960	62220303	20
ENSG00000178694	ENSG00000178694.10	NSUN3	94062980	94131832	3
ENSG00000159086	ENSG00000159086.16	PAXBP1	32733899	32771796	21
ENSG00000174456	ENSG00000174456.16	C12orf76	110027028	110073636	12
ENSG00000226492	ENSG00000226492.7	CUTA	4865167	4867042	HSCHR6_MHC_SSTO_CTG1
ENSG00000182334	ENSG00000182334.3	OR5P3	7824818	7830840	11
ENSG00000101191	ENSG00000101191.18	DIDO1	62877738	62937952	20
ENSG00000173432	ENSG00000173432.13	SAA1	18266260	18269977	11
ENSG00000125084	ENSG00000125084.13	WNT1	48978322	48982620	12
ENSG00000276559	ENSG00000276559.2	BAAT	422296	432266	HSCHR9_1_CTG5
ENSG00000169379	ENSG00000169379.17	ARL13B	93980139	94055678	3
ENSG00000229802	ENSG00000229802.11	SLC39A7	4443944	4447938	HSCHR6_MHC_DBB_CTG1
ENSG00000170439	ENSG00000170439.8	TMT1B	55681736	55684611	12
ENSG00000276539	ENSG00000276539.4	PLPPR1	79912	376338	HSCHR9_1_CTG5
ENSG00000136535	ENSG00000136535.15	TBR1	161416297	161425870	2
ENSG00000226858	ENSG00000226858.7	ZFP57	1158865	1167618	HSCHR6_MHC_COX_CTG1
ENSG00000089250	ENSG00000089250.20	NOS1	117208142	117452170	12
ENSG00000182902	ENSG00000182902.15	SLC25A18	17563086	17591909	22
ENSG00000236649	ENSG00000236649.10	PPT2	3486040	3504580	HSCHR6_MHC_APD_CTG1
ENSG00000102309	ENSG00000102309.16	PIN4	72181353	72302926	X
ENSG00000110777	ENSG00000110777.12	POU2AF1	111352255	111455630	11
ENSG00000152214	ENSG00000152214.15	RIT2	42743218	43115719	18
ENSG00000224378	ENSG00000224378.9	MICB	2745694	2758910	HSCHR6_MHC_DBB_CTG1
ENSG00000137707	ENSG00000137707.14	BTG4	111467526	111514367	11
ENSG00000269226	ENSG00000269226.9	TMSB15C	104063871	104076236	X
ENSG00000231325	ENSG00000231325.9	LY6G5C	3153975	3161330	HSCHR6_MHC_COX_CTG1
ENSG00000223887	ENSG00000223887.10	PRR3	1812710	1819547	HSCHR6_MHC_DBB_CTG1
ENSG00000224168	ENSG00000224168.9	TRIM31	1401829	1412029	HSCHR6_MHC_SSTO_CTG1
ENSG00000177576	ENSG00000177576.13	C18orf32	49477243	49487256	18
ENSG00000151117	ENSG00000151117.9	TMEM86A	18693122	18704785	11
ENSG00000086758	ENSG00000086758.18	HUWE1	53532096	53686752	X
ENSG00000237724	ENSG00000237724.5	HSPA1A	3292715	3295197	HSCHR6_MHC_COX_CTG1
ENSG00000248672	ENSG00000248672.5	LY75-CD302	159771851	159904710	2
ENSG00000179057	ENSG00000179057.14	IGSF22	18704312	18726230	11
ENSG00000241394	ENSG00000241394.7	HLA-DMA	4192143	4196655	HSCHR6_MHC_DBB_CTG1
ENSG00000236251	ENSG00000236251.6	HSPA1L	3286871	3292316	HSCHR6_MHC_COX_CTG1
ENSG00000233490	ENSG00000233490.7	GPSM3	3629115	3633872	HSCHR6_MHC_COX_CTG1
ENSG00000254899	ENSG00000254899.1		2829503	2845866	HSCHR6_MHC_SSTO_CTG1
ENSG00000229346	ENSG00000229346.8	TRIM10	1450870	1459861	HSCHR6_MHC_SSTO_CTG1
ENSG00000141644	ENSG00000141644.20	MBD1	50266746	50281846	18
ENSG00000292186	ENSG00000292186.1	MAGEA3	381298	384871	HSCHRX_1_CTG14
ENSG00000188039	ENSG00000188039.17	NWD1	16719847	16817963	19
ENSG00000155957	ENSG00000155957.19	TMBIM4	66135846	66170027	12
ENSG00000292187	ENSG00000292187.1	MAGEA2B	329721	333742	HSCHRX_1_CTG14
ENSG00000234101	ENSG00000234101.1	OR2W1	530701	531728	HSCHR6_MHC_COX_CTG1
ENSG00000183695	ENSG00000183695.3	MRGPRX2	19054455	19060717	11
ENSG00000236826	ENSG00000236826.7	LSM2	3274635	3284226	HSCHR6_MHC_COX_CTG1
ENSG00000101473	ENSG00000101473.18	ACOT8	45841709	45857405	20
ENSG00000170255	ENSG00000170255.8	MRGPRX1	18933499	18939414	11
ENSG00000226060	ENSG00000226060.7	TRIM26	1440327	1469303	HSCHR6_MHC_DBB_CTG1
ENSG00000292188	ENSG00000292188.1	CSAG1	349874	356164	HSCHRX_1_CTG14
ENSG00000172489	ENSG00000172489.7	OR5T3	56252254	56253222	11
ENSG00000292189	ENSG00000292189.1	MAGEA12	345939	349852	HSCHRX_1_CTG14
ENSG00000277932	ENSG00000277932.2	OR52E5	5893208	5902730	11
ENSG00000183560	ENSG00000183560.10	IZUMO1R	94304580	94308146	11
ENSG00000292191	ENSG00000292191.1	CETN2	442184	445947	HSCHRX_1_CTG14
ENSG00000237918	ENSG00000237918.9	SAPCD1	3062091	3064143	HSCHR6_MHC_SSTO_CTG1
ENSG00000292192	ENSG00000292192.1	NSDHL	446157	484919	HSCHRX_1_CTG14
ENSG00000292194	ENSG00000292194.1	PNMA5	604014	609306	HSCHRX_1_CTG14
ENSG00000166337	ENSG00000166337.11	TAF10	6606294	6612539	11
ENSG00000233566	ENSG00000233566.1	LINC01556	253273	253933	HSCHR6_MHC_SSTO_CTG1
ENSG00000292195	ENSG00000292195.1	MAGEA6	313891	317471	HSCHRX_1_CTG14
ENSG00000248496	ENSG00000248496.3	SCAND3	63388	77211	HSCHR6_MHC_COX_CTG1
ENSG00000226000	ENSG00000226000.4	OR2J2	482671	483942	HSCHR6_MHC_SSTO_CTG1
ENSG00000292196	ENSG00000292196.1	ZNF185	513257	588671	HSCHRX_1_CTG14
ENSG00000226171	ENSG00000226171.6	DHX16	1953870	1973820	HSCHR6_MHC_SSTO_CTG1
ENSG00000235966	ENSG00000235966.4	OR12D2	883016	884084	HSCHR6_MHC_COX_CTG1
ENSG00000233046	ENSG00000233046.8	OR5V1	841820	918416	HSCHR6_MHC_COX_CTG1
ENSG00000176009	ENSG00000176009.4	ASCL3	8937578	8943016	11
ENSG00000229071	ENSG00000229071.9	PRRT1	3586696	3592712	HSCHR6_MHC_COX_CTG1
ENSG00000280021	ENSG00000280021.3	OR51F1	4768979	4769938	11
ENSG00000150750	ENSG00000150750.9	POU2AF2	111245725	111286401	11
ENSG00000214290	ENSG00000214290.9	POU2AF3	111298546	111308735	11
ENSG00000154727	ENSG00000154727.12	GABPA	25734570	25772460	21
ENSG00000224708	ENSG00000224708.8	LY6G6E	3189620	3191096	HSCHR6_MHC_COX_CTG1
ENSG00000280571	ENSG00000280571.2		42705756	42804518	3
ENSG00000227420	ENSG00000227420.8	MRPS18B	2097433	2106119	HSCHR6_MHC_COX_CTG1
ENSG00000180432	ENSG00000180432.6	CYP8B1	42856005	42875898	3
ENSG00000235744	ENSG00000235744.11	HLA-DOA	4247719	4253152	HSCHR6_MHC_DBB_CTG1
ENSG00000228854	ENSG00000228854.8	NRM	2017554	2020927	HSCHR6_MHC_APD_CTG1
ENSG00000173456	ENSG00000173456.5	RNF26	119334527	119337309	11
ENSG00000173389	ENSG00000173389.16	IQCF1	51894876	51903353	3
ENSG00000223953	ENSG00000223953.6	C1QTNF5	119338942	119340940	11
ENSG00000276438	ENSG00000276438.3	PPP2R3B	17159	70308	HSCHRX_1_CTG3
ENSG00000184345	ENSG00000184345.5	IQCF2	51861615	51863424	3
ENSG00000205330	ENSG00000205330.4	OR6C1	55314343	55322364	12
ENSG00000206355	ENSG00000206355.11	CCHCR1	2401761	2417533	HSCHR6_MHC_DBB_CTG1
ENSG00000235718	ENSG00000235718.9	MFRP	119338942	119346705	11
ENSG00000088325	ENSG00000088325.17	TPX2	31739248	31801805	20
ENSG00000215009	ENSG00000215009.6	ACSM4	7304072	7328719	12
ENSG00000214681	ENSG00000214681.4	IQCF5	51873721	51875601	3
ENSG00000241863	ENSG00000241863.6	RPP21	1808989	1826565	HSCHR6_MHC_COX_CTG1
ENSG00000197808	ENSG00000197808.14	ZNF461	36636618	36666853	19
ENSG00000185313	ENSG00000185313.9	SCN10A	38696802	38816286	3
ENSG00000235307	ENSG00000235307.12	BRD2	4367907	4430762	HSCHR6_MHC_SSTO_CTG1
ENSG00000076555	ENSG00000076555.16	ACACB	109116587	109268226	12
ENSG00000181786	ENSG00000181786.6	ACTL9	8697400	8698795	19
ENSG00000197483	ENSG00000197483.11	ZNF628	55476617	55484487	19
ENSG00000184635	ENSG00000184635.17	ZNF93	19900913	19963464	19
ENSG00000075388	ENSG00000075388.4	FGF4	69771022	69775341	11
ENSG00000160683	ENSG00000160683.5	CXCR5	118883892	118897787	11
ENSG00000277800	ENSG00000277800.3	TBX22	65314	82327	HSCHRX_2_CTG12
ENSG00000163083	ENSG00000163083.6	INHBB	120346136	120351803	2
ENSG00000110375	ENSG00000110375.3	UPK2	118925164	118958559	11
ENSG00000197124	ENSG00000197124.12	ZNF682	19997058	20039505	19
ENSG00000224544	ENSG00000224544.2	PSORS1C2	2619927	2621743	HSCHR6_MHC_COX_CTG1
ENSG00000144331	ENSG00000144331.20	ZNF385B	179441982	179861612	2
ENSG00000144597	ENSG00000144597.14	EAF1	15427598	15450635	3
ENSG00000230463	ENSG00000230463.3	HLA-DRB3	3824514	3837642	HSCHR6_MHC_APD_CTG1
ENSG00000224994	ENSG00000224994.10	TRIM39	1806156	1823410	HSCHR6_MHC_COX_CTG1
ENSG00000176302	ENSG00000176302.13	FOXR1	118971712	118981287	11
ENSG00000196600	ENSG00000196600.13	SLC22A25	63158437	63243599	11
ENSG00000292243	ENSG00000292243.1	UBE2NL	169154	170343	HSCHRX_2_CTG14
ENSG00000213689	ENSG00000213689.14	TREX1	48465811	48467645	3
ENSG00000213988	ENSG00000213988.11	ZNF90	20077994	20127076	19
ENSG00000145040	ENSG00000145040.4	UCN2	48561718	48563781	3
ENSG00000182261	ENSG00000182261.5	NLRP10	7957537	7965447	11
ENSG00000183396	ENSG00000183396.4	TMEM89	48620759	48621769	3
ENSG00000188042	ENSG00000188042.8	ARL4C	234493041	234497081	2
ENSG00000233192	ENSG00000233192.7	HLA-DQA2	4047520	4053351	HSCHR6_MHC_APD_CTG1
ENSG00000166840	ENSG00000166840.14	GLYATL1	58905398	59043527	11
ENSG00000183762	ENSG00000183762.14	KREMEN1	29072950	29168333	22
ENSG00000008300	ENSG00000008300.17	CELSR3	48636463	48662886	3
ENSG00000273850	ENSG00000273850.3	PPP2R3B	6753	59448	HSCHRX_2_CTG3
ENSG00000256229	ENSG00000256229.8	ZNF486	20167214	20200488	19
ENSG00000230675	ENSG00000230675.9	HLA-DQB2	4062237	4069674	HSCHR6_MHC_APD_CTG1
ENSG00000249884	ENSG00000249884.8	RNF103-CHMP3	86505668	86721122	2
ENSG00000226634	ENSG00000226634.6	DDAH2	3204326	3207905	HSCHR6_MHC_COX_CTG1
ENSG00000283980	ENSG00000283980.1	GNG14	12687998	12688422	19
ENSG00000138400	ENSG00000138400.13	MDH1B	206737763	206765328	2
ENSG00000275395	ENSG00000275395.7	FCGBP	39863323	39934626	19
ENSG00000235030	ENSG00000235030.3	IER3	2043995	2045350	HSCHR6_MHC_SSTO_CTG1
ENSG00000234623	ENSG00000234623.9	MOG	922526	937918	HSCHR6_MHC_DBB_CTG1
ENSG00000142453	ENSG00000142453.13	CARM1	10871553	10923075	19
ENSG00000227794	ENSG00000227794.5	RPS18	4720691	4724211	HSCHR6_MHC_SSTO_CTG1
ENSG00000174032	ENSG00000174032.18	SLC25A30	45393316	45418455	13
ENSG00000234195	ENSG00000234195.4	OR14J1	616123	617088	HSCHR6_MHC_SSTO_CTG1
ENSG00000235588	ENSG00000235588.8	AIF1	2914470	2916307	HSCHR6_MHC_SSTO_CTG1
ENSG00000184792	ENSG00000184792.17	OSBP2	30693782	30907824	22
ENSG00000114270	ENSG00000114270.18	COL7A1	48564073	48595329	3
ENSG00000255274	ENSG00000255274.10	SMIM35	118003634	118088299	11
ENSG00000287725	ENSG00000287725.2		69072915	69162440	11
ENSG00000247595	ENSG00000247595.5	MISFA	18588781	18610255	11
ENSG00000232367	ENSG00000232367.5	TAP1	4257408	4266177	HSCHR6_MHC_COX_CTG1
ENSG00000227137	ENSG00000227137.8	OR5V1	664681	740978	HSCHR6_MHC_SSTO_CTG1
ENSG00000162194	ENSG00000162194.13	LBHD1	62662817	62672267	11
ENSG00000232957	ENSG00000232957.11	HLA-DOA	4453373	4458806	HSCHR6_MHC_SSTO_CTG1
ENSG00000242441	ENSG00000242441.8	GTF2A1L	48617798	48733148	2
ENSG00000182310	ENSG00000182310.16	SPACA6	51688346	51712387	19
ENSG00000227639	ENSG00000227639.1	OR2W1	353570	354597	HSCHR6_MHC_SSTO_CTG1
ENSG00000233831	ENSG00000233831.4	ZNF311	304250	314674	HSCHR6_MHC_SSTO_CTG1
ENSG00000292208	ENSG00000292208.1	PQBP1	49032	62237	HSCHRX_3_CTG3
ENSG00000184271	ENSG00000184271.18	POU6F1	51186936	51218062	12
ENSG00000242038	ENSG00000242038.5	EGFL8	3602935	3606633	HSCHR6_MHC_COX_CTG1
ENSG00000228080	ENSG00000228080.10	HLA-DRB1	3979128	4012352	HSCHR6_MHC_SSTO_CTG1
ENSG00000204595	ENSG00000204595.3	DPRX	53600777	53637014	19
ENSG00000226882	ENSG00000226882.9	GNL1	1842133	1857929	HSCHR6_MHC_SSTO_CTG1
ENSG00000130173	ENSG00000130173.14	ANGPTL8	11237502	11241943	19
ENSG00000292215	ENSG00000292215.1	TIMM17B	52282	56978	HSCHRX_3_CTG3
ENSG00000130312	ENSG00000130312.7	MRPL34	17292609	17306843	19
ENSG00000197837	ENSG00000197837.4	H4C16	14767999	14771131	12
ENSG00000179088	ENSG00000179088.16	C12orf42	103237591	103495978	12
ENSG00000234218	ENSG00000234218.9	MICB	2975426	2988464	HSCHR6_MHC_COX_CTG1
ENSG00000292209	ENSG00000292209.1	SLC35A2	62015	70793	HSCHRX_3_CTG3
ENSG00000074855	ENSG00000074855.11	ANO8	17323223	17334855	19
ENSG00000226187	ENSG00000226187.8	LY6G6E	3011632	3013108	HSCHR6_MHC_SSTO_CTG1
ENSG00000007372	ENSG00000007372.25	PAX6	31784779	31817961	11
ENSG00000152749	ENSG00000152749.9	GPR180	94601857	94634661	13
ENSG00000163012	ENSG00000163012.4	ZSWIM2	186827475	186849208	2
ENSG00000236346	ENSG00000236346.8	NFKBIL1	2846154	2858110	HSCHR6_MHC_SSTO_CTG1
ENSG00000235986	ENSG00000235986.9	GNL1	2021096	2036894	HSCHR6_MHC_COX_CTG1
ENSG00000230678	ENSG00000230678.10	BRD2	4221380	4225039	HSCHR6_MHC_DBB_CTG1
ENSG00000132950	ENSG00000132950.20	ZMYM5	19823482	19864915	13
ENSG00000292210	ENSG00000292210.1	PIM2	72017	77859	HSCHRX_3_CTG3
ENSG00000292211	ENSG00000292211.1	OTUD5	80859	117221	HSCHRX_3_CTG3
ENSG00000269720	ENSG00000269720.3	CCDC194	17387196	17394196	19
ENSG00000292214	ENSG00000292214.1	KCND1	120213	130679	HSCHRX_3_CTG3
ENSG00000125207	ENSG00000125207.7	PIWIL1	130337887	130372637	12
ENSG00000138434	ENSG00000138434.17	ITPRID2	181891730	181930738	2
ENSG00000292219	ENSG00000292219.1	GRIPAP1	132555	161100	HSCHRX_3_CTG3
ENSG00000099338	ENSG00000099338.23	CATSPERG	38335775	38370943	19
ENSG00000225989	ENSG00000225989.9	ABCF1	1872133	1897937	HSCHR6_MHC_SSTO_CTG1
ENSG00000229685	ENSG00000229685.8	HLA-DPA1	4308100	4324306	HSCHR6_MHC_DBB_CTG1
ENSG00000224587	ENSG00000224587.9	MDC1	2179547	2197629	HSCHR6_MHC_COX_CTG1
ENSG00000136111	ENSG00000136111.15	TBC1D4	75283503	75482651	13
ENSG00000234836	ENSG00000234836.7	AIF1	2862951	2864788	HSCHR6_MHC_DBB_CTG1
ENSG00000163964	ENSG00000163964.18	PIGX	196639775	196736007	3
ENSG00000230780	ENSG00000230780.8	OR11A1	911953	943524	HSCHR6_MHC_COX_CTG1
ENSG00000223493	ENSG00000223493.9	SKIC2	3206855	3217526	HSCHR6_MHC_DBB_CTG1
ENSG00000206256	ENSG00000206256.14	PPT2	3591780	3602032	HSCHR6_MHC_COX_CTG1
ENSG00000112280	ENSG00000112280.18	COL9A1	70216040	70303084	6
ENSG00000188735	ENSG00000188735.13	TMEM120B	121712752	121783001	12
ENSG00000197763	ENSG00000197763.20	TXNRD3	126571779	126655124	3
ENSG00000159131	ENSG00000159131.18	GART	33503371	33543524	21
ENSG00000231003	ENSG00000231003.6	MPIG6B	3017890	3026006	HSCHR6_MHC_SSTO_CTG1
ENSG00000125740	ENSG00000125740.15	FOSB	45467995	45475179	19
ENSG00000165487	ENSG00000165487.15	MICU2	21492691	21604181	13
ENSG00000139725	ENSG00000139725.8	RHOF	121777754	121803403	12
ENSG00000151320	ENSG00000151320.12	AKAP6	32329298	32837684	14
ENSG00000237825	ENSG00000237825.9	RGL2	4535172	4542842	HSCHR6_MHC_DBB_CTG1
ENSG00000130055	ENSG00000130055.15	GDPD2	70423031	70433710	X
ENSG00000239732	ENSG00000239732.4	TLR9	52221080	52225645	3
ENSG00000180044	ENSG00000180044.6	C3orf80	160225422	160228213	3
ENSG00000100196	ENSG00000100196.12	KDELR3	38468043	38483447	22
ENSG00000232382	ENSG00000232382.2	OR5K1	98463201	98472924	3
ENSG00000198398	ENSG00000198398.3	TMEM207	190428655	190449901	3
ENSG00000118997	ENSG00000118997.14	DNAH7	195737703	196068837	2
ENSG00000204487	ENSG00000204487.8	LTB	3057842	3059809	HSCHR6_MHC_COX_CTG1
ENSG00000231213	ENSG00000231213.7	PLSCR5	146576555	146605346	3
ENSG00000223980	ENSG00000223980.10	HLA-A	1239073	1307767	HSCHR6_MHC_SSTO_CTG1
ENSG00000133114	ENSG00000133114.19	GPALPP1	44989529	45037669	13
ENSG00000100425	ENSG00000100425.21	BRD1	49773278	49827944	22
ENSG00000130032	ENSG00000130032.18	PRRG3	151694607	151705924	X
ENSG00000229524	ENSG00000229524.10	BAG6	3116310	3129995	HSCHR6_MHC_COX_CTG1
ENSG00000144852	ENSG00000144852.20	NR1I2	119780484	119818487	3
ENSG00000173674	ENSG00000173674.12	EIF1AX	20124525	20141982	X
ENSG00000170948	ENSG00000170948.4	MBD3L1	8832377	8843340	19
ENSG00000205592	ENSG00000205592.16	MUC19	40393395	40570832	12
ENSG00000181143	ENSG00000181143.17	MUC16	8848844	9010390	19
ENSG00000224143	ENSG00000224143.10	EHMT2	3180981	3190824	HSCHR6_MHC_SSTO_CTG1
ENSG00000100603	ENSG00000100603.15	SNW1	77717599	77761207	14
ENSG00000150403	ENSG00000150403.19	TMCO3	113490816	113554590	13
ENSG00000114854	ENSG00000114854.8	TNNC1	52451100	52454041	3
ENSG00000256162	ENSG00000256162.2	SMLR1	130827406	130837135	6
ENSG00000236418	ENSG00000236418.8	HLA-DQA1	3872103	3894456	HSCHR6_MHC_DBB_CTG1
ENSG00000165175	ENSG00000165175.18	MID1IP1	38801417	38806537	X
ENSG00000204469	ENSG00000204469.13	PRRC2A	31620715	31637771	6
ENSG00000175497	ENSG00000175497.17	DPP10	114442299	115845780	2
ENSG00000114841	ENSG00000114841.18	DNAH1	52316319	52400492	3
ENSG00000135407	ENSG00000135407.11	AVIL	57797376	57818734	12
ENSG00000292217	ENSG00000292217.1	TFE3	187561	202245	HSCHRX_3_CTG3
ENSG00000146938	ENSG00000146938.17	NLGN4X	5840637	6228867	X
ENSG00000292222	ENSG00000292222.1	PRAF2	230112	232953	HSCHRX_3_CTG3
ENSG00000292202	ENSG00000292202.1		230421	238838	HSCHRX_3_CTG3
ENSG00000292221	ENSG00000292221.1	WDR45	233384	260121	HSCHRX_3_CTG3
ENSG00000229741	ENSG00000229741.7	BTNL2	3635054	3648208	HSCHR6_MHC_DBB_CTG1
ENSG00000225454	ENSG00000225454.2	SFTA2	2187655	2188477	HSCHR6_MHC_DBB_CTG1
ENSG00000069493	ENSG00000069493.15	CLEC2D	9664969	9699553	12
ENSG00000206268	ENSG00000206268.11	NELFE	3199867	3206867	HSCHR6_MHC_DBB_CTG1
ENSG00000244482	ENSG00000244482.11	LILRA6	54236590	54242790	19
ENSG00000292204	ENSG00000292204.1	GPKOW	272358	282686	HSCHRX_3_CTG3
ENSG00000292218	ENSG00000292218.1	MAGIX	321515	327725	HSCHRX_3_CTG3
ENSG00000100324	ENSG00000100324.15	TAB1	39399778	39437060	22
ENSG00000185100	ENSG00000185100.13	ADSS1	104724174	104747325	14
ENSG00000292279	ENSG00000292279.1	CCDC120	212407	228809	HSCHRX_3_CTG3
ENSG00000239497	ENSG00000239497.7	LY6G5B	2968402	2972830	HSCHR6_MHC_SSTO_CTG1
ENSG00000233450	ENSG00000233450.7	KIFC1	4840231	4858622	HSCHR6_MHC_SSTO_CTG1
ENSG00000291302	ENSG00000291302.1		31622774	31622860	6
ENSG00000289282	ENSG00000289282.1		31623874	31625499	6
ENSG00000152822	ENSG00000152822.15	GRM1	146027646	146437601	6
ENSG00000114646	ENSG00000114646.10	CSPG5	47562238	47580792	3
ENSG00000147164	ENSG00000147164.13	SNX12	71056332	71073426	X
ENSG00000167633	ENSG00000167633.18	KIR3DL1	54816468	54830778	19
ENSG00000174453	ENSG00000174453.10	VWC2L	214411054	214578976	2
ENSG00000227600	ENSG00000227600.11	PPT2	3469104	3488185	HSCHR6_MHC_SSTO_CTG1
ENSG00000235220	ENSG00000235220.10	HLA-F	985849	1001601	HSCHR6_MHC_DBB_CTG1
ENSG00000110848	ENSG00000110848.8	CD69	9752486	9760901	12
ENSG00000187860	ENSG00000187860.12	CCDC157	30356635	30378673	22
ENSG00000213401	ENSG00000213401.11	MAGEA12	152733757	152737679	X
ENSG00000198732	ENSG00000198732.12	SMOC1	69854131	70032366	14
ENSG00000164047	ENSG00000164047.6	CAMP	48223347	48225491	3
ENSG00000102053	ENSG00000102053.14	ZC3H12B	65034788	65507887	X
ENSG00000125266	ENSG00000125266.9	EFNB2	106489745	106535662	13
ENSG00000150045	ENSG00000150045.12	KLRF1	9827481	9845007	12
ENSG00000100364	ENSG00000100364.20	KIAA0930	45192244	45240944	22
ENSG00000175063	ENSG00000175063.18	UBE2C	45812576	45816957	20
